Antiguedad,Nro_pisos,Dormitorios,Area_constr_m2,Area_total_m2,Precio
2,1,3,313,700,890000
5,1,4,618,2540,3300000
1,2,4,425,650,1100000
1,2,4,450,1583,1750000
1,2,4,450,700,1350000
5,3,5,335,335,640000
1,2,3,595,564,1080000
2,2,4,700,1140,2800000
2,2,4,700,1140,2800000
2,2,4,450,1000,2000000
3,1,4,2757,7805,900000
5,2,4,1200,1200,1400000
1,2,4,1000,1450,2000000
3,2,4,391,684,1300000
2,2,4,420,800,1300000
1,2,4,620,2190,1200000
6,2,4,415,600,1090000
9,2,4,350,1000,890000
7,2,4,450,700,1300000
1,2,5,400,1687,1200000
8,2,5,550,1110,2490000
1,2,4,600,1300,1800000
1,3,5,371,458,790000
1,2,4,361,450,1150000
2,2,4,800,1295,1660000
2,2,3,420,1161,3000000
1,2,3,300,525,620000
2,2,4,220,312,500000
5,2,4,325,1281,2100000
2,2,4,180,240,349000
1,2,4,420,400,535000
1,2,3,320,634,796900
3,3,4,374,308,767000
7,2,3,258,309,630000
3,2,3,380,566,730000
3,2,4,400,988,1150000
5,2,4,500,1050,2200000
1,2,5,560,990,1290000
3,2,4,355,459,570000
1,2,3,348,529,660000
3,2,4,515,1299,1050000
2,2,5,470,1083,1500000
2,1,3,275,488,560000
2,2,4,350,700,840000
1,3,4,354,324,670000
1,3,3,164,109,490000
4,2,4,420,1014,1800000
3,2,4,383,480,790000
3,2,4,397,467,790000
1,3,4,346,339,670000
2,2,4,485,1295,1590000
2,3,4,235,285,575000
9,2,4,370,450,730000
3,2,5,300,1023,1200000
1,2,4,350,1250,1800000
6,2,4,290,360,500000
8,3,5,724,945,1400000
1,2,4,420,600,790000
3,2,3,700,1064,1350000
1,2,4,435,2500,2800000
2,1,3,390,1080,970000
2,3,4,550,1114,1300000
2,2,5,360,300,595000
3,2,3,1168,1168,1300000
1,3,4,280,190,400000
4,1,4,530,1534,1800000
1,1,4,300,1200,720000
2,2,5,397,157,460000
1,2,5,240,420,450000
2,3,4,175,173,350000
1,3,5,380,380,690000
1,2,5,388,822,800000
2,2,4,363,363,515000
4,3,4,320,222,460000
8,2,4,380,340,640000
3,2,5,425,766,1200000
1,2,4,420,1100,1100000
1,3,4,354,324,670000
3,3,4,354,339,670000
1,2,5,302,300,590000
2,2,5,400,1055,1150000
3,2,5,480,1036,1180000
3,2,5,480,1036,1180000
2,2,4,319,621,730000
3,3,3,284,250,640000
9,2,3,327,313,720000
1,2,3,320,550,920000
3,2,5,400,1055,1300000
6,3,5,400,511,760000
3,2,4,565,1400,1200000
3,2,3,711,1064,1340000
3,2,4,495,539,1200000
2,2,4,225,301,485000
2,3,5,328,565,630000
1,3,5,350,500,750000
1,2,5,350,500,750000
2,2,4,317,314,550000
7,2,4,340,380,635000
2,1,3,245,648,499000
6,2,4,289,359,500000
4,2,4,232,286,630000
2,2,5,578,1925,1590000
3,3,4,330,330,359000
4,1,3,450,1169,1500000
1,3,5,455,520,1200000
